delay_list,defect_list,delay_lengths_list,delayed_shipping_time_list,shipping_num_list,total_output_list,total_components_shipped_list
9,8425,50044.535171401134,175684.5351714011,13,3500,18475
3,3391,15636.632152924338,89076.63215292433,8,2500,13809
10,8326,58099.73688652451,194539.73688652448,14,4000,19673
8,7831,57242.62771478176,182882.62771478173,13,4500,19069
7,9311,52564.80366197797,189004.80366197796,14,4000,19389
8,9823,57243.44533004598,199803.44533004594,15,3500,20256
6,5984,30017.722398724247,155657.72239872426,13,4500,19852
8,8401,47331.83182264829,151371.8318226483,11,2500,14899
7,9571,36287.85374013325,161927.85374013323,13,4000,17329
12,9324,72432.29504966192,208872.2950496619,14,4000,18117
